V	1002	ATI Technologies Inc
D	1309	AMD Radeon(TM) R7 Graphics
D	130A	AMD Radeon(TM) R6 Graphics
D	130B	AMD Radeon(TM) R4 Graphics
D	130C	AMD Radeon(TM) R7 Graphics
D	130D	AMD Radeon(TM) R6 Graphics
D	130E	AMD Radeon(TM) R5 Graphics
D	130F	AMD Radeon(TM) R7 Graphics
D	1313	AMD Radeon(TM) R7 Graphics
D	1315	AMD Radeon(TM) R5 Graphics
D	1316	AMD Radeon(TM) R5 Graphics
D	1318	AMD Radeon(TM) R5 Graphics
D	131B	AMD Radeon(TM) R4 Graphics
D	131C	AMD Radeon(TM) R7 Graphics
D	131D	AMD Radeon(TM) R6 Graphics
D	15DD	AMD Radeon(TM) RX Vega 11 Graphics
X	36F517AA	AMD Radeon(TM) RX Vega 11 Graphics
X	36F517AA	AMD Radeon(TM) Vega 8 Graphics
X	36F517AA	AMD Radeon(TM) Vega 3 Graphics
D	6600	AMD Radeon HD 8600/8700M
D	6601	AMD Radeon (TM) HD 8500M/8700M
X	2100103C	AMD Firepro M4100
D	6604	AMD Radeon R7 M265 Series
X	8150103C	AMD FirePro W4190M
X	8290103C	AMD FirePro (TM) W4190M
D	6605	AMD Radeon R7 M260 Series
X	2259103C	AMD FirePro M4150
D	6606	AMD Radeon HD 8790M
X	06841028	AMD FirePro W4170M
D	6607	AMD Radeon R5 M240
D	6608	AMD FirePro W2100 (FireGL V)
D	6610	AMD Radeon R7 200 Series
X	00301019	AMD Radeon HD 8670
X	00811028	AMD Radeon(TM) R7 350X
X	00831028	AMD Radeon(TM) R5 340X
X	21201028	AMD Radeon(TM) R7 250
X	23221028	AMD Radeon(TM) R7 250
X	29101462	AMD Radeon HD 8670
X	30001787	AMD Radeon R7 350 Series
X	3C811642	AMD Radeon HD 8670 Graphics
X	3C911642	AMD Radeon HD 8670 Graphics
X	3F091642	AMD Radeon (TM) R7 350
X	3F091642	AMD Radeon (TM) R7 350
X	7350148C	AMD Radeon R7 350 Series
X	73501682	AMD Radeon R7 350 Series
X	A00B174B	AMD Radeon R7 350 Series
X	A00B174B	AMD Radeon R7 350 Series
D	6611	AMD Radeon R7 200 Series
X	00291019	AMD Radeon HD 8570
X	00291019	AMD Radeon HD 8570
X	10011028	AMD Radeon R5 430
X	10011028	AMD Radeon R5 430
X	10021028	AMD Radeon R5 430
X	10021028	AMD Radeon R5 430
X	1352174B	AMD Radeon(TM) R7 340
X	1352174B	AMD Radeon(TM) R7 340
X	16011642	AMD Radeon R5 340
X	16011642	AMD Radeon R5 340
X	17111028	AMD Radeon R5 430
X	17111028	AMD Radeon R5 430
X	18051642	RadeonT R5 430
X	18051642	RadeonT R5 430
X	188910CF	AMD Radeon HD 8570
X	188910CF	AMD Radeon HD 8570
X	210B1002	AMD Radeon HD 8570
X	210B1028	AMD Radeon(TM) R5 240
X	210B1028	AMD Radeon(TM) R5 240
X	21211028	AMD Radeon HD 8570
X	21211028	AMD Radeon HD 8570
X	31801462	AMD Radeon R5 340
X	31811462	AMD Radeon R5 340
X	31821462	AMD Radeon R5 340
X	33701462	AMD Radeon R5 340
X	33701462	AMD Radeon R5 340
X	33711462	AMD Radeon R7 430
X	33901462	AMD Radeon R5 340
X	3C791642	AMD Radeon HD 8570 Graphics
X	3C791642	AMD Radeon HD 8570 Graphics
X	3E891642	AMD Radeon R5 340
X	3E911642	AMD Radeon R5 340
X	3F691642	AMD Radeon R5 340
X	3F711642	AMD Radeon R7 340
X	3F711642	AMD Radeon R7 340
X	3F731642	AMD Radeon R7 430
X	3F731642	AMD Radeon R7 430
X	4248174B	AMD Radeon R7 240
X	90C41B0A	AMD Radeon HD 8570
X	90D31B0A	AMD Radeon R7 240
X	A240174B	AMD Radeon R7 240
X	A852174B	AMD Radeon HD 8570
X	E248174B	AMD Radeon HD 8570
D	6613	AMD Radeon R7 200 Series
X	30001787	AMD Radeon R7 430 Series
X	7340148C	AMD Radeon (TM) R7 340
X	80941462	AMD Radeon R7 240
X	A011174B	AMD Radeon (TM) R7 340
D	6617	AMD Radeon R7 240 Series
X	35301462	AMD Radeon R5 420
D	6640	AMD Radeon HD 8950
X	04A41028	AMD FirePro M6100
X	05CD1028	AMD FirePro M6100
X	15CD1028	AMD FirePro M6100
D	6646	AMD Radeon R9 M280X
X	072C1028	Radeon (TM) R9 M470X
X	2255103C	AMD FirePro M6100
X	2256103C	AMD FirePro M6100
X	380717AA	AMD Radeon (TM)  R9 M385X
X	80D6103C	AMD FirePro W6150M
X	8109103C	AMD FirePro W6150M
D	6647	AMD Radeon R9 M200X Series
X	223D1043	AMD Radeon R9 M280X
D	6649	AMD FirePro W5100
X	030c1002	AMD FirePro W5100 (FireGL V)
X	0B0C1002	AMD FirePro W4300
X	0B0C103C	AMD FirePro W4300
X	0b0c1002	AMD FirePro W4300
X	230C1028	AMD FirePro W5100 (FireGL V) Graphics Adapter
X	230C103C	AMD FirePro W5100 (FireGL V)
D	6658	AMD Radeon R7 200 Series
X	0907148C	AMD Radeon(TM) R7 360 Series Graphics
X	09071682	AMD Radeon(TM) R7 360 Series
X	293C1462	AMD Radeon R9 260
X	73601682	AMD Radeon(TM) R7 360 Series
X	A009174B	AMD Radeon R7 360
D	665C	AMD Radeon HD 7700 Series
X	0907148C	AMD Radeon(TM) R7 360 Series Graphics
X	09071682	AMD Radeon(TM) R7 360 Series
X	29321462	AMD Radeon HD 8770
X	29341462	AMD Radeon R9 260
X	29381462	AMD Radeon (TM) R9 360 Series
X	293B1462	AMD Radeon R9 260
X	8770148C	AMD Radeon HD 8770
X	9260148C	AMD Radeon R9 260
X	9260174B	AMD Radeon R9 260
X	9360148C	AMD Radeon (TM) R9 360
D	665D	AMD Radeon R7 200 Series
X	58261787	AMD Radeon(TM) R7 360 Series
X	73601682	AMD Radeon(TM) R7 360 Series
D	665F	AMD Radeon (TM) R7 360 Series
X	0B041028	AMD Radeon (TM) R9 360
X	10091028	AMD Radeon (TM) RX 455
X	32711462	AMD Radeon R9 360
X	73601787	AMD Radeon (TM) R7 360 Series
X	9360148C	AMD Radeon (TM) R9 360 Series
X	A010174B	AMD Radeon (TM) R9 360
D	6660	AMD Radeon HD 8600M Series
X	001917AA	AMD Radeon(TM) R5 M430
X	11101043	AMD Radeon R5 M330
X	123E1043	AMD Radeon(TM) R8 M435DX
X	124E1043	AMD Radeon(TM) R6 M435DX
X	13D01043	AMD Radeon (TM) R5 M430
X	1C401043	AMD Radeon (TM) R8 M350DX
X	1C501043	AMD Radeon (TM) R6 M340DX
X	1C601043	AMD Radeon (TM) R6 M335DX
X	225D1043	AMD Radeon R5 M330
X	380817AA	AMD Radeon (TM) R5 M430
X	380A17AA	AMD Radeon(TM) R5 M430
X	380B17AA	AMD Radeon(TM) R5 M430
X	380E17AA	AMD Radeon(TM) R5 M430
